Governor ID,Power,T4-Kills,T5-Kills,Kill Points
158829494,6.763.720,1.384,0,24.898
158778350,6.750.113,164.754,0,3.385.004
158747964,6.744.010,4.568,0,242.139
158129983,6.696.275,7.153,0,1.123.380
158827309,6.667.967,20.426,0,829.649
158694766,6.584.501,96.191,0,1.577.848
49365670,6.546.760,323.577,0,9.291.468
158804111,6.522.724,4.180,0,75.951
112269968,6.494.414,47.914,0,1.468.124
153817019,6.485.878,57.511,0,1.063.374
160340946,6.483.007,62.544,0,1.179.903
125419897,6.466.611,8.699,0,93.470
158268442,6.466.526,5.818,0,2.645.374
160289216,6.458.091,21.421,0,807.450
158831532,6.456.493,0,0,6.697
158775642,6.425.057,5.239,0,179.242
158751508,6.389.947,396,0,63.363
121967282,6.385.763,198.146,20.535,5.206.164
127231208,6.371.947,25.633,42.106,2.878.317
118623562,6.283.709,58.566,50,2.271.928
160179834,6.281.053,811,0,85.963
140369981,6.265.367,126.324,43.535,4.711.277
158597459,6.262.098,52.091,0,820.616
158810249,6.235.982,59.432,0,641.222
158728589,6.231.767,949,0,256.366
158708136,6.231.552,20.488,0,581.721
160006850,6.161.688,6.758,0,2.675.587
133161249,6.134.796,32.401,18.434,1.974.721
151704897,6.131.422,3.705,0,82.848
158334107,6.073.855,0,0,218.380
158730774,6.049.548,6.763,0,213.832
161111475,6.034.792,5.820,0,101.988
158296140,5.996.616,14.665,0,3.888.341
155232770,5.981.197,1.740,0,37.916
159402465,5.925.009,594,0,362.569
165222756,5.921.640,12.042,32,121.366
156029249,5.847.196,52.693,0,1.166.588
158039157,5.846.114,20.877,0,299.313
158830602,5.826.045,34.365,0,419.494
158814179,5.797.168,25.780,7.378,560.006
155233891,5.781.469,3.139,0,47.558
155543219,5.696.962,172.262,0,1.828.513
158336508,5.692.230,55.498,0,873.755
158765605,5.674.445,2.634,0,68.177
158746208,5.619.114,10.050,0,797.624
158758255,5.600.508,8.349,0,134.942
159810392,5.595.459,2.468,0,159.696
156023899,5.547.437,34.555,7.843,726.033
152877343,5.545.658,177.740,0,1.825.530
149320471,5.542.103,1.194,0,990.862
151220194,5.533.212,74.601,0,1.356.465
158793792,5.496.094,9.606,0,164.742
154167306,5.396.767,13.350,0,243.156
158766128,5.363.472,60.843,9.838,2.261.632
157747120,5.270.279,0,0,7.752
162503618,5.255.338,141.744,0,1.417.440
158725017,5.250.845,153.720,0,2.119.400
158794016,5.230.259,68.042,0,1.884.198
159043478,5.204.278,33.737,0,418.094
156351543,5.197.578,143.612,6.981,2.222.316
